Rank,Stadium,Seating capacity,Region,Country,City,Images,Home team(s)
47,Naghsh-e-Jahan Stadium,75000,West Asia,Iran,Isfahan,,Sepahan FC
48,Bank of America Stadium,74867,North America,United States,"Charlotte, North Carolina",,"Charlotte FC, Carolina Panthers"
49,Principality Stadium ♦,74500,Europe,Wales,Cardiff,,Wales national rugby union team
50,Olympiastadion,74475,Europe,Germany,Berlin,,Hertha BSC
51,Cairo International Stadium,74100,Africa,Egypt,Cairo,,"Egypt national football team, Al Ahly, Zamalek"
52,FirstEnergy Stadium,"73,200[31]",North America,United States,Cleveland,,Cleveland Browns
53,Estádio Nacional Mané Garrincha,72788,South America,Brazil,"Brasília, Distrito Federal",,"Brasília FC, Legião FC"
54,Stadio Olimpico,72698,Europe,Italy,"Rome, Lazio",,"AS Roma, Lazio"
55,Nissan Stadium ♦,"72,327[32]",East Asia,Japan,"Yokohama, Kanagawa",,"Yokohama F. Marinos, Yokohama Eagles"
56,NRG Stadium,72220,North America,United States,"Houston, Texas",,"Houston Texans, Houston Dynamo FC"
57,Shanghai Stadium,72000,East Asia,China,Shanghai,,Shanghai Shenhua
58,M&T Bank Stadium,"71,008[33]",North America,United States,Baltimore,,Baltimore Ravens
59,Mercedes-Benz Stadium,71000,North America,United States,"Atlanta, Georgia",,"Atlanta United FC, Atlanta Falcons"
60,Riyadh Air Metropolitano,70692,Europe,Spain,Madrid,,Atlético de Madrid
61,Olympic National Sports Complex Stadium ♦,"70,000[34]",Europe,Ukraine,Kyiv,,"Ukraine national football team, FC Dynamo Kyiv"
62,SoFi Stadium,70000,North America,United States,"Inglewood, California",,
63,Seoul Olympic Stadium ♦,69950,East Asia,South Korea,Seoul,,
64,Bakı Olimpiya stadionu ♦,69870,West Asia,Azerbaijan,Baku,,Azerbaijan national football team
65,Olympic Stadium ♦,69618,Europe,Greece,"Marousi, Attica",,Greece national football team
66,Olympiastadion München,69250,Europe,Germany,Munich,,
67,Lumen Field,69000,North America,United States,"Seattle, Washington",,"Seattle Sounders FC, Seattle Seahawks"
68,Estadio Olímpico Universitario,68954,North America,Mexico,Mexico City,,UNAM Pumas
69,Gillette Stadium,68756,North America,United States,"Foxborough, Massachusetts",,"New England Patriots, New England Revolution"
70,King Abdullah Sports City Stadium ♦,68560,West Asia,Saudi Arabia,Jeddah,,"Saudi Arabia national football team, Al-Ahli Saudi FC, Al-Ittihad Saudi Club"
71,Lincoln Financial Field,68532,North America,United States,Philadelphia,,"Philadelphia Eagles, Temple Owls football"
72,Levi's Stadium,68500,North America,United States,"Santa Clara, California",,San Francisco 49ers
73,Acrisure Stadium,"68,400[35]",North America,United States,Pittsburgh,,"Pittsburgh Steelers, Pittsburgh Panthers football"
74,Gazprom Arena,68134,Europe,Russia,Saint Petersburg,,FC Zenit Saint Petersburg
75,Salt Lake Stadium ♦,"68,000[36][37]",South Asia,India,Kolkata,,"India national football team, Mohun Bagan Super Giant, East Bengal FC, Mohammedan SC"
76,National Stadium,68000,East Asia,Japan,Tokyo,,
77,TIAA Bank Field,"67,814[38]",North America,United States,"Jacksonville, Florida",,Jacksonville Jaguars
78,Orange Vélodrome,67394,Europe,France,Marseille,,Olympique de Marseille
79,Puskás Aréna ♦,67215,Europe,Hungary,Budapest,,Hungary national football team
80,Scottish Gas Murrayfield Stadium,67144,Europe,Scotland,Edinburgh,,Scotland national rugby union team
81,Lucas Oil Stadium,67000,North America,United States,"Indianapolis, Indiana",,Indianapolis Colts
82,MorumBIS,66975,South America,Brazil,"São Paulo, São Paulo",,São Paulo FC
83,The Dome,66965,North America,United States,St. Louis,,St. Louis BattleHawks
84,Yadegar-e-Emam Stadium,66833,West Asia,Iran,Tabriz,,Tractor Sazi FC
85,Seoul World Cup Stadium,66704,East Asia,South Korea,Seoul,,FC Seoul
86,US Bank Stadium,66655,North America,United States,Minneapolis,,Minnesota Vikings
87,Daegu Stadium,66422,East Asia,South Korea,Daegu,,Daegu FC
88,Workers' Stadium,66161,East Asia,China,Beijing,,"Beijing Guoan, China national football team"
89,London Stadium,66000,Europe,England,London,,West Ham United
90,Raymond James Stadium,65847,North America,United States,"Tampa, Florida",,"Tampa Bay Buccaneers, South Florida Bulls football, Tampa Bay Vipers"
91,Hard Rock Stadium,"65,326[39]",North America,United States,"Miami Gardens, Florida",,"Miami Dolphins, Miami Hurricanes football"
92,Olympic Stadium ♦,65255,North America,Canada,"Montreal, Quebec",,CF Montréal
93,Basra International Stadium ♦,65227,West Asia,Iraq,Basra,,Iraq national football team
94,Camping World Stadium,65000,North America,United States,"Orlando, Florida",,
95,Alamodome,65000,North America,United States,San Antonio,,UTSA Roadrunners football
96,Ford Field,65000,North America,United States,Detroit,,Detroit Lions
97,Stade Ibn Battuta,65000,Africa,Morocco,Tangier,,IR Tanger
98,Estádio do Sport Lisboa e Benfica ♦,64642,Europe,Portugal,Lisbon,,Benfica
99,Stade du 5-juillet-1962 ♦,"64,000[40]",Africa,Algeria,Algiers,,Algeria national football team
100,Castelão,63903,South America,Brazil,"Fortaleza, Ceará",,"Ceará SC, Fortaleza EC"
101,Saitama Stadium 2002,"63,700[41]",East Asia,Japan,Saitama,,"Urawa Red Diamonds, Saitama Wild Knights"
102,Ellis Park Stadium,62567,Africa,South Africa,"Johannesburg, Gauteng",,"Orlando Pirates FC, Emirates Johannesburg Lions"
103,Tottenham Hotspur Stadium,"62,303[42]",Europe,England,London,,Tottenham Hotspur
104,VELTINS-Arena,62271,Europe,Germany,Gelsenkirchen,,FC Schalke 04
105,Yizhong Sports Centre Stadium,62000,East Asia,China,"Qingdao, Shandong",,Qingdao Jonoon FC
106,Estádio Governador Magalhães Pinto,"61,846[43]",South America,Brazil,"Belo Horizonte, Minas Gerais",,"Atlético Mineiro, Cruzeiro EC"
107,King Fahd International Stadium,61781,West Asia,Saudi Arabia,Riyadh,,"Saudi Arabia national football team, Al-Hilal, Al-Nassr, Al-Shabab"
108,Soldier Field,61500,North America,United States,Chicago,,Chicago Bears
109,Nanjing Olympic Sports Centre Stadium,61443,East Asia,China,"Nanjing, Jiangsu",,
110,Anfield,"61,276[44]",Europe,England,"Liverpool, England",,Liverpool FC
111,Estadio Benito Villamarín,60720,Europe,Spain,Seville,,Real Betis
112,Abuja Stadium ♦,60491,Africa,Nigeria,Abuja,,Nigeria national football team
113,MHPArena,60469,Europe,Germany,Stuttgart,,VfB Stuttgart
114,Celtic Park ♦,"60,411[45]",Europe,Scotland,Glasgow,,Celtic FC
115,Estadio de la UNSA,60370,South America,Peru,Arequipa,,FBC Melgar
116,Emirates Stadium,"60,338[46]",Europe,England,London,,Arsenal
117,Shenzhen Universiade Sports Centre Stadium,60334,East Asia,China,"Shenzhen, Guangdong",,
118,Estadio Centenario ♦,60235,South America,Uruguay,Montevideo,,Uruguay national football team
119,Estádio José do Rego Maciel,60044,South America,Brazil,"Recife, Pernambuco",,Santa Cruz FC
120,Al-Bayt Stadium,60000,West Asia,Qatar,Al-Khor,,
121,Benjamin Mkapa National Stadium ♦,60000,Africa,Tanzania,Dar es-Salaam,,"Tanzania national football team, Young Africans"
122,Hefei Olympic Sports Centre Stadium,60000,East Asia,China,"Hefei, Anhui",,Anhui Jiufang
123,Jaber al-Ahmad International Stadium ♦,60000,West Asia,Kuwait,Kuwait City,,Kuwait national football team
124,Hammadi Agrebi Stadium ♦,60000,Africa,Tunisia,Tunis,,Tunisia national football team
125,Jawaharlal Nehru Stadium,"60,000[47]",South Asia,India,New Delhi,,
126,Mogadishu Stadium ♦,60000,Africa,Somalia,Mogadishu,,Somalia national football team
127,National Heroes Stadium ♦,60000,Africa,Zambia,Lusaka,,Zambian national football team
128,Autzen Stadium,60000,North America,United States,"Eugene, Oregon",,
129,Odi Stadium,60000,Africa,South Africa,"Mabopane, Gauteng",,
130,Morodok Techo National Stadium,60000,Southeast Asia,Cambodia,Phnom Penh,,Cambodia national football team
131,Shenyang Olympic Sports Centre Stadium,60000,East Asia,China,"Shenyang, Liaoning",,
132,Optus Stadium,60000,Oceania,Australia,"Perth, Western Australia",,"Perth Glory FC, Fremantle Dockers, West Coast Eagles"
133,Estadio Monumental Isidro Romero Carbo ♦,"59,283[48]",South America,Ecuador,Guayaquil,,Barcelona Sporting Club
134,Groupama Stadium,59186,Europe,France,Décines-Charpieu,,Olympique Lyonnais
135,Chongqing Olympic Sports Centre Stadium,58680,East Asia,China,Chongqing,,
136,Kazimierz Górski National Stadium ♦,58580,Europe,Poland,Warsaw,,Poland national football team
137,Stadio San Nicola,58270,Europe,Italy,"Bari, Apulia",,SSC Bari
138,Commanders Field,58000,North America,United States,"Landover, Maryland",,Washington Commanders
139,Deutsche Bank Park,"58,000[49]",Europe,Germany,Frankfurt,,Eintracht Frankfurt
140,Estadio La Cartuja de Sevilla,57619,Europe,Spain,Seville,,
141,Carter–Finley Stadium,"57,583[50]",North America,United States,"Raleigh, North Carolina",,NC State Wolfpack football
142,La Bombonera,57200,South America,Argentina,Buenos Aires,,CA Boca Juniors
143,Volksparkstadion,57030,Europe,Germany,Hamburg,,Hamburger SV
144,Estadio Mario Alberto Kempes,57000,South America,Argentina,Córdoba,,"Talleres de Córdoba, some Belgrano de Córdoba matches."
145,Jinan Olympic Sports Centre Stadium,56808,East Asia,China,"Jinan, Shandong",,Shandong Taishan
146,Estadio Jalisco,"56,713[51]",North America,Mexico,"Guadalajara, Jalisco",,Atlas
147,Commonwealth Stadium,56302,North America,Canada,"Edmonton, Alberta",,"Edmonton Elks, Canadian men's and women's national teams"
148,Dodger Stadium,56000,North America,United States,Los Angeles,,Los Angeles Dodgers
149,Stade du 19-mai-1956,56000,Africa,Algeria,Annaba,,USM Annaba
150,Estadi Olímpic Lluís Companys,55926,Europe,Spain,"Barcelona, Catalonia",,
151,Arena do Grêmio,55662,South America,Brazil,"Porto Alegre, Rio Grande do Sul",,Grêmio FBPA
152,Arena Națională ♦,55634,Europe,Romania,Bucharest,,Romania national football team
153,Stadion Rajko Mitić ♦,55538,Europe,Serbia,Belgrade,,"Red Star Belgrade, Serbia national football team"
154,Stadion Śląski,55211,Europe,Poland,Chorzów,,"Poland national football team, Ruch Chorzów"
155,Etihad Stadium,55097,Europe,England,"Manchester, North West England",,Manchester City
156,Mestalla,55000,Europe,Spain,Valencia,,Valencia CF
157,National Stadium ♦,55000,Southeast Asia,Singapore,Singapore,,Singapore national football team
158,National Stadium ♦,55000,East Asia,Taiwan,Kaohsiung,,Chinese Taipei national football team
159,He Long Stadium,55000,East Asia,China,"Changsha, Hunan",,
160,Cape Town Stadium,55000,Africa,South Africa,"Cape Town, Western Cape",,"Cape Town City FC, DHL Western Cape Stormers"
161,Plovdiv Stadium ♦,55000,Europe,Bulgaria,Plovdiv,,
162,Bobby Dodd Stadium,55000,North America,United States,Atlanta,,Georgia Tech Yellow Jackets football
163,Johan Cruijff Arena ♦,"54,990[52]",Europe,Netherlands,Amsterdam,,AFC Ajax
164,Tianhe Stadium,54856,East Asia,China,"Guangzhou, Guangdong",,
165,Stadio Diego Armando Maradona,54726,Europe,Italy,Naples,,SSC Napoli
166,Tianjin Olympic Sports Centre Stadium,54696,East Asia,China,Tianjin,,Tianjin Teda
167,MERKUR SPIEL-ARENA,54600,Europe,Germany,Düsseldorf,,Fortuna Düsseldorf
168,Boris Paitchadze Dinamo Arena ♦,54549,West Asia,Georgia,Tbilisi,,"Georgia national football team, FC Dinamo Tbilisi"
169,Wuhan Sports Centre Stadium,54357,East Asia,China,"Wuhan, Hubei",,
170,BC Place Stadium,54320,North America,Canada,"Vancouver, British Columbia",,"Vancouver Whitecaps FC, BC Lions"
171,Yankee Stadium,54251,North America,United States,New York City,,"New York Yankees, New York City FC"
172,Hrazdan Stadium ♦,54208,West Asia,Armenia,Yerevan,,"FC Ararat Yerevan, Ulisses FC"
173,BORUSSIA-PARK,54057,Europe,Germany,Mönchengladbach,,Borussia Mönchengladbach
174,Moses Mabhida Stadium,54000,Africa,South Africa,"Durban, KwaZulu-Natal",,"AmaZulu FC, Cell C Durban Sharks"
175,Busan Asiad Main Stadium,53864,East Asia,South Korea,Busan,,Busan IPark
176,Estádio Estadual Jornalista Edgar Augusto Proença,53645,South America,Brazil,"Belém, Pará",,"Paysandu SC, Clube do Remo, Tuna Luso Brasileira, SC Belem"
177,Estadio Único Diego Armando Maradona,53600,South America,Argentina,La Plata,,
178,Adelaide Oval,53500,Oceania,Australia,"Adelaide, South Australia",,"Adelaide Crows, Port Adelaide Power"
179,Docklands Stadium,53359,Oceania,Australia,"Melbourne, Victoria",,"Western Bulldogs, Essendon, St. Kilda, Carlton, North Melbourne"
180,Estádio Municipal João Havelange,53350,South America,Brazil,"Uberlândia, Minas Gerais",,Uberlânia EC
181,San Mamés,53332,Europe,Spain,Bilbao,,Athletic Bilbao
182,Aleppo International Stadium ♦,53200,West Asia,Syria,Aleppo,,Al-Ittihad
183,Estadio Nacional,53086,South America,Peru,Lima,,Peru national football team
184,Huanglong Stadium,52672,East Asia,China,"Hangzhou, Zhejiang",,Hangzhou FC
185,RAMS Park,52652,Europe,Turkey,Istanbul,,Galatasaray
186,Suncorp Stadium,52500,Oceania,Australia,"Brisbane, Queensland",,"Brisbane Broncos, Queensland Maroons, Brisbane Roar FC, Queensland Reds"
187,St. James' Park,52405,Europe,England,"Newcastle upon Tyne, North East",,Newcastle United
188,Kings Park Stadium,52000,Africa,South Africa,"Durban, KwaZulu-Natal",,"Lamontville Golden Arrows, Cell C Durban Sharks"
189,Newlands Stadium,51900,Africa,South Africa,"Cape Town, Western Cape",,
190,Hampden Park,"51,866[53]",Europe,Scotland,Glasgow,,"Scotland national football team, Queen's Park"
191,Estadio Monumental de Maturín ♦,51796,South America,Venezuela,Maturín,,Monagas Sport Club
192,Loftus Versfeld Stadium,51762,Africa,South Africa,"Pretoria, Gauteng",,SuperSport United and Vodacom Pretoria Bulls
193,Aviva Stadium ♦,51700,Europe,Ireland,Dublin,,"Leinster Rugby, Republic of Ireland national football team, Ireland national rugby union team"
194,Guiyang Olympic Sports Centre Stadium,51638,East Asia,China,"Guiyang, Guizhou",,
195,Hohhot City Stadium,51632,East Asia,China,"Hohhot, Inner Mongolia",,
196,Rajamangala National Stadium ♦,51552,Southeast Asia,Thailand,Bangkok,,Thailand national football team
197,Donbass Arena,51504,Europe,Ukraine,Donetsk,,
198,El Cilindro,51389,South America,Argentina,Avellaneda,,Racing Club de Avellaneda
199,İzmir Atatürk Stadyumu,51295,West Asia,Turkey,İzmir,,"Altay SK, Göztepe AŞ"
200,Stadion Feijenoord,51117,Europe,Netherlands,Rotterdam,,Feyenoord
201,Estadio BBVA,"51,000[54]",North America,Mexico,Monterrey,,CF Monterrey
202,Ghadir Stadium,51000,West Asia,Iran,Ahvaz,,Foolad FC
203,Estádio José Pinheiro Borda,50942,South America,Brazil,Porto Alegre. Rio Grande do Sul,,SC Internacional
204,Ibrox Stadium,"50,817[55]",Europe,Scotland,Glasgow,,Rangers FC
205,Shizuoka Stadium,"50,889[56]",East Asia,Japan,"Fukuroi, Shizuoka",,"Júbilo Iwata, Shimizu S-Pulse, Shizuoka Blue Revs"
206,Ernst-Happel-Stadion ♦,50865,Europe,Austria,Vienna,,Austria national football team
207,Huntington Bank Stadium,50805,North America,United States,Minneapolis,,Minnesota Golden Gophers football
208,Estadio Cuauhtémoc,50754,North America,Mexico,Puebla,,Puebla FC
209,Strawberry Arena ♦,50653,Europe,Sweden,Solna,,"Sweden men's national football team, AIK Fotboll"
210,Ülker Stadyumu,50509,West Asia,Turkey,Istanbul,,Fenerbahçe
211,Stanford Stadium,50424,North America,United States,"Palo Alto, California",,
212,Stade Pierre-Mauroy,50186,Europe,France,Villeneuve-d'Ascq,,Lille OSC
213,Stade Roi Baudouin ♦,50122,Europe,Belgium,Brussels,,Belgium national football team
214,Shaanxi Province Stadium,50100,East Asia,China,"Xi'an, Shaanxi",,
215,Ajinomoto Stadium,50100,East Asia,Japan,"Chofu, Tokyo",,"FC Tokyo, Tokyo Verdy, Tokyo Sungoliath, Toshiba Brave Lupus Tokyo"
216,Estádio José Alvalade,50095,Europe,Portugal,Lisbon,,Sporting CP
217,Estádio do Dragão,50033,Europe,Portugal,Porto,,FC Porto
218,Casa de Apostas Arena Fonte Nova,50025,South America,Brazil,"Salvador, Bahia",,EC Bahia
219,Stade Olympique de Sousse,50000,Africa,Tunisia,Sousse,,Étoile du Sahel
220,RheinEnergieSTADION,50000,Europe,Germany,Cologne,,1. FC Köln
221,Harbin Sports City Centre Stadium,50000,East Asia,China,"Harbin, Heilongjiang",,
222,Greenfield International Stadium,"50,000[57]",South Asia,India,Trivandrum,,
223,EMS Stadium,50000,South Asia,India,Kozhikode,,"India national football team, Gokulam Kerala FC"
224,KD Singh Babu Stadium,50000,South Asia,India,Lucknow,,
225,Eden Park ♦,50000,Oceania,New Zealand,Auckland,,"Auckland Blues, New Zealand Warriors"
226,Estádio 11 de Novembro ♦,50000,Africa,Angola,Luanda,,"Angola national football team, Primeiro de Agosto, Petro Luanda"
227,Henan Provincial Stadium,50000,East Asia,China,"Zhengzhou, Henan",,
228,Jiangxi Olympic Sports Center,50000,East Asia,China,"Nanchang, Jiangxi",,
229,Max-Morlock-Stadion,50000,Europe,Germany,Nuremberg,,1. FC Nürnberg
230,June 11 Stadium ♦,50000,Africa,Libya,Tripoli,,"Libya, Al-Ahly SC, Al-Ittihad Tripoli, Al-Madina SC"
231,Xinjiang Sports Centre Stadium,50000,East Asia,China,"Urumqi, Xinjiang",,
232,Kim Il-sung Stadium,50000,East Asia,North Korea,Pyongyang,,Pyongyang City Sports Club
233,EDION Stadium Hiroshima,50000,East Asia,Japan,Hiroshima,,Sanfrecce Hiroshima
234,Pars Shiraz Stadium,50000,West Asia,Iran,Shiraz,,Fajr Sepasi Shiraz FC
235,Stade du 26 mars ♦,50000,Africa,Mali,Bamako,,Stade Malien
236,Stade Abdoulaye Wade,50000,Africa,Senegal,Dakar,,Senegal national football team
237,Sultan Mizan Zainal Abidin Stadium,50000,Southeast Asia,Malaysia,Kuala Terengganu,,Terengganu FA
238,Estadio Akron,49850,North America,Mexico,Guadalajara,,C.D. Guadalajara
239,Levy Mwanawasa Stadium,49800,Africa,Zambia,Lusaka,,Zesco United
240,Fritz-Walter-Stadion,49780,Europe,Germany,Kaiserslautern,,1. FC Kaiserslautern
241,Estadio José Amalfitani,49540,South America,Argentina,Buenos Aires,,CA Vélez Sársfield
242,Camille Chamoun Sports City Stadium ♦,"49,500[58]",West Asia,Lebanon,Beirut,,"Lebanon national football team, Al Ahed FC, Al Ansar FC, Nejmeh SC"
243,Miyagi Stadium,49133,East Asia,Japan,"Rifu, Miyagi",,Vegalta Sendai
244,Incheon Munhak Stadium,49084,East Asia,South Korea,Incheon,,
245,Heinz-von-Heiden-Arena,49000,Europe,Germany,Hanover,,Hannover 96
246,Parc des Princes,48712,Europe,France,Paris,,Paris Saint-Germain
247,Stadium of Light,48707,Europe,England,"Sunderland, Tyne and Wear",,Sunderland AFC
248,Estadio Nacional ♦,48665,South America,Chile,Santiago,,"Chile national football team, CF Universidad de Chile"
249,Nelson Mandela Bay Stadium,48459,Africa,South Africa,"Port Elizabeth, Eastern Cape",,Chippa United FC
250,Estadio Tomás Adolfo Ducó,48314,South America,Argentina,Buenos Aires,,CA Huracán
251,Jinnah Sports Stadium ♦,48200,South Asia,Pakistan,Islamabad,,Pakistan national football team
252,Estadio Libertadores de América,48069,South America,Argentina,Avellaneda,,Club Atlético Independiente
253,Free State Stadium,48000,Africa,South Africa,"Bloemfontein, Free State",,"Bloemfontein Celtic, Toyota Cheetahs"
254,Nagai Stadium,47816,East Asia,Japan,Osaka,,"Cerezo Osaka, NTT DoCoMo Red Hurricanes Osaka"
255,Neo Química Arena,47605,South America,Brazil,"São Paulo, São Paulo",,Corinthians
256,Rogers Centre,47568,North America,Canada,"Toronto, Ontario",,"Toronto FC, Toronto Argonauts"
257,Estadio Monumental,47347,South America,Chile,Santiago,,Colo-Colo
258,Stadio Artemio Franchi,47282,Europe,Italy,Florence,,ACF Fiorentina
259,Estadio Ciudad de Lanús – Néstor Díaz Pérez,47027,South America,Argentina,Lanús,,CA Lanús
260,Estadio Metropolitano Roberto Meléndez,46788,South America,Colombia,Barranquilla,,"Colombia national football team, Atlético Junior"
261,Estádio Olímpico Nilton Santos,46831,South America,Brazil,"Rio de Janeiro, Rio de Janeiro",,Botafogo FR
262,Itaipava Arena Pernambuco,46154,South America,Brazil,"São Lourenço da Mata, Pernambuco",,Náutico
263,Arena MRV,46000,South America,Brazil,"Belo Horizonte, Minas Gerais",,C Atlético Mineiro
264,Estádio Paulo Constantino,45954,South America,Brazil,"Presidente Prudente, São Paulo",,Grêmio Prudente
265,Estadio Atanasio Girardot,45739,South America,Colombia,Medellín,,"Atlético Nacional, Independiente Medellín"
266,Estadio Ramón Sánchez Pizjuán,45500,Europe,Spain,Seville,,Sevilla FC
267,Adrar Stadium,45480,Africa,Morocco,Agadir,,Hassania Agadir
268,Lukoil Arena,45360,Europe,Russia,Moscow,,Spartak Moscow
269,Grand stade de Marrakech,45240,Africa,Morocco,Marrakesh,,Kawkab Marrakech
270,Mandela National Stadium ♦,45202,Africa,Uganda,Kampala,,Uganda national football team
271,Tarczyński Arena Wrocław,45105,Europe,Poland,Wrocław,,Śląsk Wrocław
272,Kazan Arena,45105,Europe,Russia,Kazan,,Rubin Kazan
273,Estadio Inca Garcilaso de la Vega,45056,South America,Peru,Cusco,,"CS Cienciano, Deportivo Garcilaso, Cusco FC"
274,Estádio da Machava ♦,45000,Africa,Mozambique,Maputo,,Mozambique national football team
275,Stadion Gelora Bung Tomo,45000,Southeast Asia,Indonesia,"Surabaya, East Java",,Persebaya Surabaya
276,Stadion Harapan Banga,45000,Southeast Asia,Indonesia,"Banda Aceh, Aceh",,"Persiraja, Aceh United"
277,Estadio General Pablo Rojas ♦,45000,South America,Paraguay,Asunción,,Club Cerro Porteño
278,Stade Mohammed V ♦,"45,000[59]",Africa,Morocco,Casablanca,,"Wydad, Raja"
279,Latakia Sports City Stadium,45000,West Asia,Syria,Latakia,,
280,Zibo Sports Centre Stadium,45000,East Asia,China,"Zibo, Shandong",,
281,Weifang Sports Centre Stadium,45000,East Asia,China,"Weifang, Shandong",,
282,Yantai Sports Park Stadium,45000,East Asia,China,"Yantai, Shandong",,
283,Stadium Tuanku Abdul Rahman,45000,Southeast Asia,Malaysia,Seremban,,"ATM FA, Negeri Sembilan"
284,Stade du Complexe sportif de Fès,45000,Africa,Morocco,Fes,,"Wydad de Fès, Maghreb de Fès"
285,Lagos National Stadium,45000,Africa,Nigeria,Lagos,,Nigeria national football team
286,Egyptian Army Stadium,45000,Africa,Egypt,Suez,,
